model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS5EWG1,T(Android 13),2023-07-17,2023-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU4EWE5,T(Android 13),2023-06-29,2023-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS3EWE1,T(Android 13),2023-05-22,2023-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU3EWD3,T(Android 13),2023-05-10,2023-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2EWC1,T(Android 13),2023-03-13,2023-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2EWB1,T(Android 13),2023-03-02,2023-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2DWA8,T(Android 13),2023-01-31,2023-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2DVL3,T(Android 13),2022-12-19,2022-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2DVK9,T(Android 13),2022-12-01,2022-11-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2CVJ1,S(Android 12),2022-10-24,2022-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2CVI2,S(Android 12),2022-09-29,2022-09-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVH9,S(Android 12),2022-09-07,2022-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2CVH8,S(Android 12),2022-09-01,2022-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVG2,S(Android 12),2022-08-02,2022-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVF1,S(Android 12),2022-06-30,2022-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVDD,S(Android 12),2022-05-19,2022-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVD6,S(Android 12),2022-04-15,2022-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2CVCB,S(Android 12),2022-04-11,2022-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2CVC4,S(Android 12),2022-04-01,2022-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2BVB1,S(Android 12),2022-02-28,2022-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2BVA2,S(Android 12),2022-01-24,2022-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2BUL3,S(Android 12),2022-01-03,2021-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2AUIN,R(Android 11),2021-10-19,2021-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUI6,R(Android 11),2021-09-29,2021-09-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUGR,R(Android 11),2021-08-26,2021-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUGE,R(Android 11),2021-07-30,2021-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHS2AUG2,R(Android 11),2021-07-13,2021-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUF6,R(Android 11),2021-06-21,2021-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUDD,R(Android 11),2021-05-24,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUDD,R(Android 11),2021-05-10,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUDA,R(Android 11),2021-04-29,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUC9,R(Android 11),2021-03-29,2021-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU2AUBB,R(Android 11),2021-03-08,2021-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU1AUB7,R(Android 11),2021-02-25,2021-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU1AUAG,R(Android 11),2021-02-04,2021-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU1AUAE,R(Android 11),2021-01-29,2021-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,BRI,017231210128,SM-G9960/BRI, Taiwan,Taiwan,No-carrier,Asia,Eastern Asia,G9960ZHU1AUA7,R(Android 11),2021-01-27,2021-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017231210128/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS8GXE2,U(Android 14),2024-05-28,2024-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU7GXDE,U(Android 14),2024-05-13,2024-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS6FXA1,U(Android 14),2024-01-22,2023-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU6FWL2,U(Android 14),2023-12-26,2023-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS6EWJ1,T(Android 13),2023-12-19,2023-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU5EWH6,T(Android 13),2023-09-04,2023-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS5EWG1,T(Android 13),2023-08-03,2023-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU4EWE5,T(Android 13),2023-06-29,2023-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU3EWD3,T(Android 13),2023-05-10,2023-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2EWB2,T(Android 13),2023-03-02,2022-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2DWA8,T(Android 13),2023-01-31,2022-11-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2DVK9,T(Android 13),2022-12-01,2022-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS2CVI4,S(Android 12),2022-10-11,2022-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2CVI1,S(Android 12),2022-09-07,2022-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2CVG2,S(Android 12),2022-08-02,2022-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2CVF1,S(Android 12),2022-06-30,2022-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2CVDD,S(Android 12),2022-05-19,2022-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS2CVCB,S(Android 12),2022-04-11,2022-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2CVC4,S(Android 12),2022-04-01,2022-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2BVA2,S(Android 12),2022-01-24,2022-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2BUL3,S(Android 12),2021-12-30,2021-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS2AUIN,R(Android 11),2021-10-20,2021-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUI6,R(Android 11),2021-09-29,2021-09-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUH1,R(Android 11),2021-08-26,2021-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUGE,R(Android 11),2021-07-30,2021-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCS2AUG1,R(Android 11),2021-07-13,2021-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUF5,R(Android 11),2021-06-18,2021-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUDD,R(Android 11),2021-05-20,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUDD,R(Android 11),2021-05-10,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUDA,R(Android 11),2021-04-29,2021-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUC9,R(Android 11),2021-03-29,2021-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU2AUBB,R(Android 11),2021-03-08,2021-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU1AUB7,R(Android 11),2021-02-25,2021-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU1AUAG,R(Android 11),2021-02-04,2021-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU1AUAE,R(Android 11),2021-01-29,2021-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,CHC,016624210118,SM-G9960/CHC, China (Open China),China,Open China,Asia,Eastern Asia,G9960ZCU1AUA4,R(Android 11),2021-01-18,2021-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/016624210118/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS8GXE2,U(Android 14),2024-05-28,2024-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU7GXDE,U(Android 14),2024-05-13,2024-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS7FXBC,U(Android 14),2024-03-26,2024-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS7FXAE,U(Android 14),2024-02-20,2024-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS6FXA1,U(Android 14),2024-01-22,2024-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS6FWL3,U(Android 14),2024-01-03,2023-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU6FWK7,U(Android 14),2023-12-26,2023-11-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS6EWJ1,T(Android 13),2023-10-23,2023-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS5EWI1,T(Android 13),2023-09-21,2023-09-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU5EWH6,T(Android 13),2023-09-05,2023-08-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS5EWG1,T(Android 13),2023-07-17,2023-07-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU4EWE5,T(Android 13),2023-06-29,2023-06-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS3EWE1,T(Android 13),2023-05-22,2023-05-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU3EWD3,T(Android 13),2023-05-10,2023-04-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS2EWC1,T(Android 13),2023-03-13,2023-03-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU2EWB1,T(Android 13),2023-03-02,2023-02-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU2DWA8,T(Android 13),2023-01-31,2023-01-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS2DVL3,T(Android 13),2022-12-19,2022-12-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHU2DVK9,T(Android 13),2022-12-01,2022-11-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
SM-G9960,TGY,017228210128,SM-G9960/TGY, Hong Kong,Hong Kong,No-carrier,Asia,Eastern Asia,G9960ZHS2CVJ1,S(Android 12),2022-10-24,2022-10-01,Galaxy S21+ 5G ,https://doc.samsungmobile.com/SM-G9960/017228210128/eng.html
