model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G990B2,DRE,023656220817,SM-G990B2/DRE, Austria (3 Hutchison),Austria,3 Hutchison,Europe,Western Europe,G990B2XXU1DVK3,T(Android 13),2022-11-22,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023656220817/eng.html
SM-G990B2,DRE,023656220817,SM-G990B2/DRE, Austria (3 Hutchison),Austria,3 Hutchison,Europe,Western Europe,G990B2XXS1CVI5,S(Android 12),2022-10-12,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023656220817/eng.html
SM-G990B2,DRE,023656220817,SM-G990B2/DRE, Austria (3 Hutchison),Austria,3 Hutchison,Europe,Western Europe,G990B2XXU1CVH7,S(Android 12),2022-09-19,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023656220817/eng.html
SM-G990B2,DRE,023656220817,SM-G990B2/DRE, Austria (3 Hutchison),Austria,3 Hutchison,Europe,Western Europe,G990B2XXU1CVG7,S(Android 12),2022-08-17,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023656220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU7GXE1,U(Android 14),2024-05-27,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU6GXD6,U(Android 14),2024-05-14,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS6FXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5FXC1,U(Android 14),2024-03-18,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5FXA7,U(Android 14),2024-02-19,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5FWL5,U(Android 14),2024-01-09,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5FWL2,U(Android 14),2023-12-28,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU5FWK3,U(Android 14),2023-12-07,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5EWJB,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5EWJ1,T(Android 13),2023-10-17,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5EWI1,T(Android 13),2023-09-18,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU5EWH5,T(Android 13),2023-09-06,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5EWG9,T(Android 13),2023-08-15,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS5EWF2,T(Android 13),2023-07-14,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU4EWE7,T(Android 13),2023-06-14,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS3EWE3,T(Android 13),2023-05-23,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU3EWD2,T(Android 13),2023-05-08,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU3EWC7,T(Android 13),2023-04-20,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS2EWC4,T(Android 13),2023-03-23,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU2EWC1,T(Android 13),2023-03-13,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU1EWAJ,T(Android 13),2023-02-13,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU1DWA4,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS1DVL1,T(Android 13),2022-12-22,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS1DVK4,T(Android 13),2022-12-08,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU1DVK3,T(Android 13),2022-11-23,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXS1CVI5,S(Android 12),2022-10-12,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU1CVH7,S(Android 12),2022-09-19,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,DTM,023671220817,SM-G990B2/DTM, Germany (T-Mobile),Germany,T-Mobile,Europe,Western Europe,G990B2XXU1CVG7,S(Android 12),2022-08-17,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023671220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU7GXE1,U(Android 14),2024-05-28,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU6GXD6,U(Android 14),2024-05-14,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS6FXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5FXC1,U(Android 14),2024-03-18,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5FXA7,U(Android 14),2024-02-19,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5FWL5,U(Android 14),2024-01-09,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5FWL2,U(Android 14),2023-12-28,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU5FWK3,U(Android 14),2023-12-07,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5EWJB,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5EWJ1,T(Android 13),2023-10-24,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5EWI1,T(Android 13),2023-09-26,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU5EWH5,T(Android 13),2023-09-06,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5EWG9,T(Android 13),2023-08-15,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS5EWF2,T(Android 13),2023-07-14,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU4EWE7,T(Android 13),2023-06-14,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS3EWE3,T(Android 13),2023-05-23,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU3EWD2,T(Android 13),2023-05-08,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU3EWC7,T(Android 13),2023-04-20,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS2EWC4,T(Android 13),2023-03-23,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU2EWC1,T(Android 13),2023-03-13,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU1EWAJ,T(Android 13),2023-02-16,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU1DWA4,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS1DVL1,T(Android 13),2022-12-26,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS1DVK4,T(Android 13),2022-12-08,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU1DVK3,T(Android 13),2022-11-22,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXS1CVI5,S(Android 12),2022-10-12,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU1CVH7,S(Android 12),2022-09-19,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,EVR,023737220817,SM-G990B2/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,G990B2XXU1CVG7,S(Android 12),2022-08-17,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023737220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU7GXE1,U(Android 14),2024-05-27,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU6GXD6,U(Android 14),2024-05-14,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS6FXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5FXC1,U(Android 14),2024-03-18,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5FXA7,U(Android 14),2024-02-19,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5FWL5,U(Android 14),2024-01-09,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5FWL2,U(Android 14),2023-12-28,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU5FWK3,U(Android 14),2023-12-07,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5EWJB,T(Android 13),2023-11-28,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5EWJ1,T(Android 13),2023-10-24,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5EWI1,T(Android 13),2023-09-18,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU5EWH5,T(Android 13),2023-09-11,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5EWG9,T(Android 13),2023-08-15,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS5EWF2,T(Android 13),2023-07-14,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU4EWE7,T(Android 13),2023-06-19,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS3EWE3,T(Android 13),2023-05-23,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU3EWD2,T(Android 13),2023-05-08,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU3EWC7,T(Android 13),2023-04-24,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS2EWC4,T(Android 13),2023-03-22,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU2EWC1,T(Android 13),2023-03-13,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU1EWAJ,T(Android 13),2023-02-21,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU1DWA4,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS1DVL1,T(Android 13),2022-12-22,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS1DVK4,T(Android 13),2022-12-08,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU1DVK3,T(Android 13),2022-11-22,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXS1CVI5,S(Android 12),2022-10-12,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU1CVH7,S(Android 12),2022-09-19,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,FTM,023695220817,SM-G990B2/FTM, France (Orange),France,Orange,Europe,Western Europe,G990B2XXU1CVG7,S(Android 12),2022-08-17,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023695220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXU7GXE1,U(Android 14),2024-05-27,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXU6GXD6,U(Android 14),2024-05-14,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS6FXD2,U(Android 14),2024-04-16,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5FXC1,U(Android 14),2024-03-18,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5FXA7,U(Android 14),2024-02-19,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5FWL5,U(Android 14),2024-01-09,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5FWL2,U(Android 14),2023-12-28,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXU5FWK3,U(Android 14),2023-12-07,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5EWJB,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5EWJ1,T(Android 13),2023-10-24,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXS5EWI1,T(Android 13),2023-09-22,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
SM-G990B2,H3G,023640220817,SM-G990B2/H3G, United Kingdom (H3G),United Kingdom,H3G,Europe,Northern Europe,G990B2XXU5EWH5,T(Android 13),2023-09-11,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990B2/023640220817/eng.html
