model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXS5BTC1,Pie(Android 9),2020-04-22,2020-04-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU4BTA1,Pie(Android 9),2020-02-29,2020-01-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU3BSK2,Pie(Android 9),2019-12-23,2019-11-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU3BSI2,Pie(Android 9),2019-10-07,2019-09-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU3BSG2,Pie(Android 9),2019-08-09,2019-07-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU2BSDJ,Pie(Android 9),2019-06-27,2019-04-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,VNZ,002593181215,SM-J415GN/VNZ, New Zealand (Vodafone),New Zealand,Vodafone,Oceania,Australia and New Zealand,J415GNDXU1ARK5,Oreo(Android 8.1.0),2018-12-14,2018-11-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/002593181215/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXS6BVJ1,Pie(Android 9),2022-12-21,2020-12-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU6BUD1,Pie(Android 9),2021-06-07,2020-12-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU6BTJ1,Pie(Android 9),2020-11-11,2020-11-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXS6BTH1,Pie(Android 9),2020-09-05,2020-09-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXS5BTF1,Pie(Android 9),2020-06-18,2020-06-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXS5BTC1,Pie(Android 9),2020-04-10,2020-04-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU4BTA1,Pie(Android 9),2020-01-21,2020-01-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU3BSL1,Pie(Android 9),2019-12-26,2019-12-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU3BSK2,Pie(Android 9),2019-11-14,2019-11-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU3BSI2,Pie(Android 9),2019-10-01,2019-09-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU3BSG2,Pie(Android 9),2019-07-31,2019-07-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU2BSDJ,Pie(Android 9),2019-05-02,2019-04-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU2ASD3,Oreo(Android 8.1.0),2019-04-27,2019-03-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU1ASB1,Oreo(Android 8.1.0),2019-03-26,2019-03-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU1ARK5,Oreo(Android 8.1.0),2018-11-25,2018-11-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU1ARJ4,Oreo(Android 8.1.0),2018-10-12,2018-09-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
SM-J415GN,XTC,001905180928,SM-J415GN/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J415GNDXU1ARIM,Oreo(Android 8.1.0),2018-09-28,2018-09-01,Galaxy J4+ ,https://doc.samsungmobile.com/SM-J415GN/001905180928/eng.html
